country,year,avg_annual_tariff_percent,tariff_std_dev_volatility,policy_volatility_index_0-1,trade_restriction_count,avg_time_between_changes_months,currency_volatility_index,inflation_impact
Germany,2023,10.2,8.32,1.0,7,0.24,0.22,2.65
Germany,2024,10.2,8.32,1.0,4,0.24,0.21,2.37
Germany,2025,10.2,8.32,1.0,5,0.24,0.19,2.12
India,2023,11.91,8.44,1.0,8,0.31,0.32,4.23
India,2024,11.91,8.44,1.0,7,0.31,0.33,6.83
India,2025,11.91,8.44,0.99,2,0.31,0.41,5.62
Japan,2023,11.5,8.06,0.91,1,0.26,0.22,1.49
Japan,2024,11.5,8.06,1.0,7,0.26,0.29,1.33
Japan,2025,11.5,8.06,1.0,7,0.26,0.3,1.37
South Korea,2023,10.65,7.78,1.0,3,0.24,0.33,2.21
South Korea,2024,10.65,7.78,1.0,2,0.24,0.37,2.04
South Korea,2025,10.65,7.78,1.0,2,0.24,0.33,4.66
USA,2023,12.85,8.78,1.0,9,0.23,0.2,2.83
USA,2024,12.85,8.78,1.0,8,0.23,0.15,2.94
USA,2025,12.85,8.78,1.0,9,0.23,0.16,2.67
